,Parameter,General source,Source,Commodity,Value,"Commodity, source"
0,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 0,Ag,0.3156295884646429,"Ag, this study"
1,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 1,Ag,-0.46084147883256765,"Ag, this study"
2,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 2,Ag,-0.47177194730640065,"Ag, this study"
3,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 3,Ag,0.20311437851983877,"Ag, this study"
4,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 4,Ag,0.41677733750700197,"Ag, this study"
5,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 5,Ag,-0.25733384211415083,"Ag, this study"
6,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 6,Ag,-0.4546587829237908,"Ag, this study"
7,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 7,Ag,-0.03053547806617471,"Ag, this study"
8,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 8,Ag,0.027765888684588978,"Ag, this study"
9,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 9,Ag,0.3184843967679285,"Ag, this study"
10,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 10,Ag,-0.10257745163757463,"Ag, this study"
11,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 11,Ag,0.21129130958809733,"Ag, this study"
12,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 12,Ag,-0.43656237314267293,"Ag, this study"
13,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 13,Ag,0.15812925930893088,"Ag, this study"
14,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 14,Ag,0.34035444363658807,"Ag, this study"
15,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 15,Ag,-0.4143302887630632,"Ag, this study"
16,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 16,Ag,-0.06330697176128011,"Ag, this study"
17,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 17,Ag,-0.15500042411831672,"Ag, this study"
18,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 18,Ag,-0.07933519874490251,"Ag, this study"
19,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 19,Ag,-0.4615375890227399,"Ag, this study"
20,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 20,Ag,0.37007317287592567,"Ag, this study"
21,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 21,Ag,0.3695444384923491,"Ag, this study"
22,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 22,Ag,-0.17338694343915068,"Ag, this study"
23,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 23,Ag,0.3054152125692044,"Ag, this study"
24,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 24,Ag,0.05817061657714291,"Ag, this study"
25,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 25,Ag,-0.3242836149909034,"Ag, this study"
26,"Mine cost elasticity
to ore grade ( )",This study,This study 0,Ag,-0.107924317834136,"Ag, this study"
27,"Mine cost elasticity
to ore grade ( )",This study,This study 1,Ag,-0.1443750914212919,"Ag, this study"
28,"Mine cost elasticity
to ore grade ( )",This study,This study 2,Ag,-0.7016475918354117,"Ag, this study"
29,"Mine cost elasticity
to ore grade ( )",This study,This study 3,Ag,-0.4333830720461346,"Ag, this study"
30,"Mine cost elasticity
to ore grade ( )",This study,This study 4,Ag,-0.3081542034456175,"Ag, this study"
31,"Mine cost elasticity
to ore grade ( )",This study,This study 5,Ag,-0.8395562161590624,"Ag, this study"
32,"Mine cost elasticity
to ore grade ( )",This study,This study 6,Ag,-0.6866366080024525,"Ag, this study"
33,"Mine cost elasticity
to ore grade ( )",This study,This study 7,Ag,-0.3184875703103224,"Ag, this study"
34,"Mine cost elasticity
to ore grade ( )",This study,This study 8,Ag,-0.7282801872144352,"Ag, this study"
35,"Mine cost elasticity
to ore grade ( )",This study,This study 9,Ag,-0.9609823081642136,"Ag, this study"
36,"Mine cost elasticity
to ore grade ( )",This study,This study 10,Ag,-0.7168520032630293,"Ag, this study"
37,"Mine cost elasticity
to ore grade ( )",This study,This study 11,Ag,-0.4898592127825696,"Ag, this study"
38,"Mine cost elasticity
to ore grade ( )",This study,This study 12,Ag,-0.6644275612092754,"Ag, this study"
39,"Mine cost elasticity
to ore grade ( )",This study,This study 13,Ag,-0.5586429284413363,"Ag, this study"
40,"Mine cost elasticity
to ore grade ( )",This study,This study 14,Ag,-0.4315416358264988,"Ag, this study"
41,"Mine cost elasticity
to ore grade ( )",This study,This study 15,Ag,-0.6301031076479864,"Ag, this study"
42,"Mine cost elasticity
to ore grade ( )",This study,This study 16,Ag,-0.957802688813403,"Ag, this study"
43,"Mine cost elasticity
to ore grade ( )",This study,This study 17,Ag,-0.9402408483365172,"Ag, this study"
44,"Mine cost elasticity
to ore grade ( )",This study,This study 18,Ag,-0.3323965074825832,"Ag, this study"
45,"Mine cost elasticity
to ore grade ( )",This study,This study 19,Ag,-0.9477020008711694,"Ag, this study"
46,"Mine cost elasticity
to ore grade ( )",This study,This study 20,Ag,-0.7432275963027275,"Ag, this study"
47,"Mine cost elasticity
to ore grade ( )",This study,This study 21,Ag,-0.7165123622993349,"Ag, this study"
48,"Mine cost elasticity
to ore grade ( )",This study,This study 22,Ag,-0.5981237073488245,"Ag, this study"
49,"Mine cost elasticity
to ore grade ( )",This study,This study 23,Ag,-0.8695846024633221,"Ag, this study"
50,"Mine cost elasticity
to ore grade ( )",This study,This study 24,Ag,-0.0461717146753298,"Ag, this study"
51,"Mine cost elasticity
to ore grade ( )",This study,This study 25,Ag,-0.4426026762302606,"Ag, this study"
52,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 0,Ag,0.0848419005155245,"Ag, this study"
53,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 1,Ag,0.0246397030510444,"Ag, this study"
54,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 2,Ag,0.0669392142597711,"Ag, this study"
55,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 3,Ag,0.0833986981409425,"Ag, this study"
56,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 4,Ag,0.0141703562470393,"Ag, this study"
57,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 5,Ag,0.0078921546174358,"Ag, this study"
58,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 6,Ag,0.0485849698571326,"Ag, this study"
59,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 7,Ag,0.0466914371431221,"Ag, this study"
60,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 8,Ag,0.0069212313201203,"Ag, this study"
61,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 9,Ag,0.0237296911398814,"Ag, this study"
62,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 10,Ag,0.0607927775416376,"Ag, this study"
63,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 11,Ag,0.0342752921046671,"Ag, this study"
64,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 12,Ag,0.067830024027067,"Ag, this study"
65,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 13,Ag,0.0109416868242813,"Ag, this study"
66,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 14,Ag,0.0239498330822975,"Ag, this study"
67,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 15,Ag,0.0521225546091517,"Ag, this study"
68,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 16,Ag,0.0755293588015668,"Ag, this study"
69,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 17,Ag,0.074331441529433,"Ag, this study"
70,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 18,Ag,0.0153078709653337,"Ag, this study"
71,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 19,Ag,0.1460188770353258,"Ag, this study"
72,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 20,Ag,0.0155462817563806,"Ag, this study"
73,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 21,Ag,0.0095995191086104,"Ag, this study"
74,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 22,Ag,0.1035486983408675,"Ag, this study"
75,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 23,Ag,0.0210787705878012,"Ag, this study"
76,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 24,Ag,0.0238430340836747,"Ag, this study"
77,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 25,Ag,0.0143503606794388,"Ag, this study"
78,"$\frac{1}{10} x$ Mine cost
change per year ( )",Literature,"Topp (2008), a",Ag,0.22000000000000003,"Ag, literature"
79,"$\frac{1}{10} x$ Mine cost
change per year ( )",Literature,"Topp (2008), b",Ag,-0.37,"Ag, literature"
80,"$\frac{1}{10} x$ Mine cost
change per year ( )",Literature,"Topp (2008), c",Ag,0.61,"Ag, literature"
81,"$\frac{1}{10} x$ Mine cost
change per year ( )",Literature,This study,Ag,0.301,"Ag, literature"
82,"Mine cost elasticity
to ore grade ( )",Literature,This study,Ag,-0.1969,"Ag, literature"
83,"Ore grade elasticity
to COT distribution mean (**)",Literature,"This study, a",Ag,0.004940000000000001,"Ag, literature"
84,"Ore grade elasticity
to COT distribution mean (**)",Literature,"This study, b",Ag,0.04732,"Ag, literature"
85,"Ore grade elasticity
to COT distribution mean (**)",Literature,"This study, c",Ag,0.19,"Ag, literature"
86,"Collection elasticity to
scrap price ( )",This study,This study 0,Al,0.9513058900644208,"Al, this study"
87,"Collection elasticity to
scrap price ( )",This study,This study 1,Al,0.6827297147737798,"Al, this study"
88,"Collection elasticity to
scrap price ( )",This study,This study 2,Al,0.5070026318757118,"Al, this study"
89,"Collection elasticity to
scrap price ( )",This study,This study 3,Al,0.8142432449127623,"Al, this study"
90,"Collection elasticity to
scrap price ( )",This study,This study 4,Al,0.8427704771565037,"Al, this study"
91,"Collection elasticity to
scrap price ( )",This study,This study 5,Al,0.2250022046074514,"Al, this study"
92,"Collection elasticity to
scrap price ( )",This study,This study 6,Al,0.0301301884563206,"Al, this study"
93,"Collection elasticity to
scrap price ( )",This study,This study 7,Al,0.9921088952501932,"Al, this study"
94,"Collection elasticity to
scrap price ( )",This study,This study 8,Al,0.6912716140826866,"Al, this study"
95,"Collection elasticity to
scrap price ( )",This study,This study 9,Al,0.9996978492225828,"Al, this study"
96,"Collection elasticity to
scrap price ( )",This study,This study 10,Al,0.9494797595259414,"Al, this study"
97,"Collection elasticity to
scrap price ( )",This study,This study 11,Al,0.2847083154204191,"Al, this study"
98,"Collection elasticity to
scrap price ( )",This study,This study 12,Al,0.5220760519810397,"Al, this study"
99,"Collection elasticity to
scrap price ( )",This study,This study 13,Al,0.6941946409124248,"Al, this study"
100,"Collection elasticity to
scrap price ( )",This study,This study 14,Al,0.5729565883487178,"Al, this study"
101,"Collection elasticity to
scrap price ( )",This study,This study 15,Al,0.132891871136379,"Al, this study"
102,"Collection elasticity to
scrap price ( )",This study,This study 16,Al,0.5703812228961291,"Al, this study"
103,"Collection elasticity to
scrap price ( )",This study,This study 17,Al,0.7273833464201388,"Al, this study"
104,"Collection elasticity to
scrap price ( )",This study,This study 18,Al,0.3258138559212864,"Al, this study"
105,"Collection elasticity to
scrap price ( )",This study,This study 19,Al,0.789394351314312,"Al, this study"
106,"Collection elasticity to
scrap price ( )",This study,This study 20,Al,0.7010212302355989,"Al, this study"
107,"Collection elasticity to
scrap price ( )",This study,This study 21,Al,0.1187865749326451,"Al, this study"
108,"Collection elasticity to
scrap price ( )",This study,This study 22,Al,0.860378114659637,"Al, this study"
109,"Collection elasticity to
scrap price ( )",This study,This study 23,Al,0.9329744818109168,"Al, this study"
110,"Collection elasticity to
scrap price ( )",This study,This study 24,Al,0.8102577544579317,"Al, this study"
111,"Collection elasticity to
scrap price ( )",This study,This study 25,Al,0.1957402632809266,"Al, this study"
112,"Direct melt fraction
elasticity to scrap spread ( )",This study,This study 0,Al,0.0037396850413028,"Al, this study"
113,"Direct melt fraction
elasticity to scrap spread ( )",This study,This study 1,Al,0.8931197017738363,"Al, this study"
114,"Direct melt fraction
elasticity to scrap spread ( )",This study,This study 2,Al,0.5706212670281682,"Al, this study"
115,"Direct melt fraction
elasticity to scrap spread ( )",This study,This study 3,Al,0.5573165298271744,"Al, this study"
116,"Direct melt fraction
elasticity to scrap spread ( )",This study,This study 4,Al,0.0109311869601553,"Al, this study"
117,"Direct melt fraction
elasticity to scrap spread ( )",This study,This study 5,Al,0.8939989288556751,"Al, this study"
118,"Direct melt fraction
elasticity to scrap spread ( )",This study,This study 6,Al,0.5023233383605015,"Al, this study"
119,"Direct melt fraction
elasticity to scrap spread ( )",This study,This study 7,Al,0.6577315176687721,"Al, this study"
120,"Direct melt fraction
elasticity to scrap spread ( )",This study,This study 8,Al,0.9762700377089656,"Al, this study"
121,"Direct melt fraction
elasticity to scrap spread ( )",This study,This study 9,Al,0.1020727033172739,"Al, this study"
122,"Direct melt fraction
elasticity to scrap spread ( )",This study,This study 10,Al,0.7530068825069668,"Al, this study"
123,"Direct melt fraction
elasticity to scrap spread ( )",This study,This study 11,Al,0.5956071100650898,"Al, this study"
124,"Direct melt fraction
elasticity to scrap spread ( )",This study,This study 12,Al,0.4239253508917215,"Al, this study"
125,"Direct melt fraction
elasticity to scrap spread ( )",This study,This study 13,Al,0.1129671989969924,"Al, this study"
126,"Direct melt fraction
elasticity to scrap spread ( )",This study,This study 14,Al,0.626625059692372,"Al, this study"
